id,cases,file_name,file_id,data_type,submitter_id,data_category,experimental_strategy
d5586fdb-d796-4176-84e3-11a72124b41f,"[{'case_id': 'c7d7a770-23c0-4310-ab48-1f6152dc2849', 'submitter_id': 'TCGA-D8-A1Y2'}]",f7efa9c4-e7e2-406a-98e5-596f787c810e.rna_seq.augmented_star_gene_counts.tsv,d5586fdb-d796-4176-84e3-11a72124b41f,Gene Expression Quantification,c320ab18-e602-45ea-8022-7f11fcae4ead,Transcriptome Profiling,RNA-Seq
e4f49b9c-faed-4f15-a79c-79664e2c03b6,"[{'case_id': 'ecab16bc-28d5-4c3a-8735-3c785bd047c4', 'submitter_id': 'TCGA-BH-A1FB'}]",61a614bb-2249-4611-8aac-1a8e53d4467b.rna_seq.augmented_star_gene_counts.tsv,e4f49b9c-faed-4f15-a79c-79664e2c03b6,Gene Expression Quantification,1fc8f599-2b9d-40f1-b01b-82b57fe8ae57,Transcriptome Profiling,RNA-Seq
81801e72-d293-42e0-8871-5468e33b6d89,"[{'case_id': 'fa4e082a-d213-412e-8d91-842a6f4bef12', 'submitter_id': 'TCGA-BH-A0B6'}]",08ccd8d6-3e9d-4ece-a421-98acaf272569.rna_seq.augmented_star_gene_counts.tsv,81801e72-d293-42e0-8871-5468e33b6d89,Gene Expression Quantification,fc4989b7-0ced-4e63-b571-e306ea61fcb6,Transcriptome Profiling,RNA-Seq
56be281f-e85c-4dcb-9d75-cd9ae3430bbe,"[{'case_id': '02f5ae33-a563-4ecb-9e33-dfa500a44931', 'submitter_id': 'TCGA-A8-A093'}]",92e7a9c0-ea88-419e-9afa-e7db5c8967b5.rna_seq.augmented_star_gene_counts.tsv,56be281f-e85c-4dcb-9d75-cd9ae3430bbe,Gene Expression Quantification,4744901f-5d5c-440f-afe0-9618db787f13,Transcriptome Profiling,RNA-Seq
50721c97-1a23-405b-b7b3-2955e4c62e5a,"[{'case_id': 'a8b1f6e7-2bcf-460d-b1c6-1792a9801119', 'submitter_id': 'TCGA-E9-A1NF'}]",00063026-2a67-41de-b105-f80dca277978.rna_seq.augmented_star_gene_counts.tsv,50721c97-1a23-405b-b7b3-2955e4c62e5a,Gene Expression Quantification,c82b711f-1067-427b-ae59-4f57c3f18bea,Transcriptome Profiling,RNA-Seq
0e62a6d0-87a7-4efc-922f-753328694458,"[{'case_id': '8a0ef221-8070-43fc-9d98-def90abe4871', 'submitter_id': 'TCGA-E2-A1B1'}]",c5d4a1ed-8fd3-4435-96f5-ea5e56326f20.rna_seq.augmented_star_gene_counts.tsv,0e62a6d0-87a7-4efc-922f-753328694458,Gene Expression Quantification,3ba4a310-d32c-48de-82b6-53b80b0d1598,Transcriptome Profiling,RNA-Seq
be65c37e-7aa8-466d-a1fe-102e8e25e2e9,"[{'case_id': 'e8f3cc64-5e15-4f4d-b73e-5c9b250a664c', 'submitter_id': 'TCGA-AR-A255'}]",35120b68-e618-46a1-9641-1e635f633372.rna_seq.augmented_star_gene_counts.tsv,be65c37e-7aa8-466d-a1fe-102e8e25e2e9,Gene Expression Quantification,2a6f486f-bf21-4b13-9204-f6123982ca2f,Transcriptome Profiling,RNA-Seq
f2a4b38d-bfc0-4363-9a58-b5fa2af26ff3,"[{'case_id': 'a482fc4c-ff1d-46a0-a968-7df06422cc4b', 'submitter_id': 'TCGA-B6-A0WX'}]",4665ff5e-adb6-4b88-8a42-cb25c4fda0a0.rna_seq.augmented_star_gene_counts.tsv,f2a4b38d-bfc0-4363-9a58-b5fa2af26ff3,Gene Expression Quantification,e7d0a025-cb8e-4e1b-bf82-c96dea0562cf,Transcriptome Profiling,RNA-Seq
71ea0cc0-d979-4efd-a670-1e8e8a329aca,"[{'case_id': 'a381275f-8858-4793-a8a2-0ca9db7274c8', 'submitter_id': 'TCGA-EW-A1J2'}]",0394cdb2-85e8-4cea-b572-4cb4ed779774.rna_seq.augmented_star_gene_counts.tsv,71ea0cc0-d979-4efd-a670-1e8e8a329aca,Gene Expression Quantification,b0cd1360-38a3-4a70-967a-98cf71c2182a,Transcriptome Profiling,RNA-Seq
222b562a-3ef7-4e69-a60d-54aac5104102,"[{'case_id': 'a9bb8159-32f0-454c-a946-b3286a52b9d5', 'submitter_id': 'TCGA-A1-A0SP'}]",e0527b4b-de23-4b9f-8871-13f64f6976cd.rna_seq.augmented_star_gene_counts.tsv,222b562a-3ef7-4e69-a60d-54aac5104102,Gene Expression Quantification,01c7a57e-080f-4e18-ba49-c80242b09a33,Transcriptome Profiling,RNA-Seq
3ce988e2-61c5-4f53-b9c8-cfc280649c1f,"[{'case_id': 'ee554215-bea2-4268-aaf9-784e68cdb969', 'submitter_id': 'TCGA-BH-A1F8'}]",8d2f240f-43c3-4e0d-a6cc-79f6b174dace.rna_seq.augmented_star_gene_counts.tsv,3ce988e2-61c5-4f53-b9c8-cfc280649c1f,Gene Expression Quantification,415920ba-141b-49a9-aef5-5364d3e9fdf9,Transcriptome Profiling,RNA-Seq
0d11c50a-8648-48ea-a107-e138a1d3e086,"[{'case_id': 'ee554215-bea2-4268-aaf9-784e68cdb969', 'submitter_id': 'TCGA-BH-A1F8'}]",bf3ea4a0-bcd6-4e9d-acbb-3416f6ce53b7.rna_seq.augmented_star_gene_counts.tsv,0d11c50a-8648-48ea-a107-e138a1d3e086,Gene Expression Quantification,f6fcbf9b-024f-4800-8ec8-60edf438f86d,Transcriptome Profiling,RNA-Seq
2e6baa15-85d7-43b0-8a89-a0dc169ae16a,"[{'case_id': 'e37ae674-a107-4eb3-94d8-b86b0035a9f7', 'submitter_id': 'TCGA-AC-A3HN'}]",c62cda08-6134-47c6-8796-9da0788d9717.rna_seq.augmented_star_gene_counts.tsv,2e6baa15-85d7-43b0-8a89-a0dc169ae16a,Gene Expression Quantification,39b64171-ba24-4567-a66d-adfc3de60ef6,Transcriptome Profiling,RNA-Seq
